Word;Clue
Emperor penguin;Largest, Antarctic bird.
Fossa;Carnivorous, Madagascar mammal.
Frigatebird;Seabird with inflatable throat pouch.
Gaur;Massive, wild ox.
Gibbon;Swinging, small ape.
Gila monster;Venomous, beaded lizard.
Gnu;Also known as a wildebeest.
Goanna;Large, Australian monitor lizard.
Guinea pig;Small, tailless rodent.
Hartebeest;Swift, long-faced antelope.
Honey badger;Fearless, tough mammal.
Ibis;Wading bird with a curved bill.
Jackal;Cunning, scavenging canine.
Jerboa;Long-legged, desert rodent.
Kestrel;Small, hovering falcon.
Kiwi;Flightless, nocturnal bird.
Kudu;Spiral-horned, large antelope.
Lamprey;Jawless, parasitic fish.
Lapwing;Wading bird with a crest.
Lorikeet;Nectar-feeding, colorful parrot.
Loris;Slow-moving, nocturnal primate.
Lynx;Tuft-eared, wild cat.
Markhor;Twisted-horned, wild goat.
Marlin;Spearfish with a long bill.
Marten;Tree-dwelling, carnivorous mammal.
Mongoose;Snake-hunting, agile mammal.
Narwhal;Tusked, Arctic whale.
Numbat;Termite-eating, striped marsupial.
Okapi;Striped-legged, forest giraffe relative.
Orca;Apex predator, black-and-white dolphin.
Oryx;Straight-horned, desert antelope.
Pangolin;Scaly, ant-eating mammal.
Peafowl;Colorful, extravagant bird.
Polecat;Mustelid with a strong odor.
Quokka;Smiling, small marsupial.
Rook;Black, intelligent bird.
Saiga;Endangered, long-nosed antelope.
Saki;Bearded, South American monkey.
Sambar;Large, Indian deer.
Sifaka;Leaping, lemur of Madagascar.
Springbok;Leaping, gazelle of Africa.
Stoat;Winter-white, carnivorous mammal.
Sugar glider;Gliding, nocturnal marsupial.
Tahr;Mountain goat of the Himalayas.
Takin;Muscular, Himalayan ungulate.
Tapir;Snouted, forest herbivore.
Tarsier;Large-eyed, nocturnal primate.
Tenrec;Spiny, insectivorous mammal.
Turaco;Colorful, fruit-eating bird.
Vicuna;Wild, Andean camelid.
Butterfly;Delicate flyer with colorful wings.
Warthog;Tusked, African wild pig.
Wildcat;Untamed, small feline.
Woodcock;Ground-dwelling, wading bird.
Yabby;Australian freshwater crayfish.
Zorilla;Striped, smelly mammal.
